id,name
3360043,Okresní soud v Děčíně
3360044,Okresní soud v Chomutově
3360045,Okresní soud v Jablonci nad Nisou
3360046,Okresní soud v Liberci
3360047,Okresní soud v Litoměřicích
3360048,Okresní soud v Lounech
3360049,Okresní soud v Mostě
3360050,Okresní soud v Teplicích
3360051,Okresní soud v Ústí nad Labem
3360052,Okresní soud v Havlíčkově Brodě
3360053,Okresní soud v Hradci Králové
3360054,Okresní soud Chrudim
3360055,Okresní soud v Jičíně
3360056,Okresní soud v Náchodě
3360057,Okresní soud v Pardubicích
3360058,Okresní soud v Rychnově nad Kněžnou
3360059,Okresní soud v Semilech
3360060,Okresní soud ve Svitavách
3360061,Okresní soud v Trutnově
3360062,Okresní soud v Ústí nad Orlicí
3360063,Okresní soud v Blansku
3360064,Městský soud Brno-město
3360065,Okresní soud Brno - venkov
3360066,Okresní soud v Břeclavi
3360067,Okresní soud ve Zlíně
3360068,Okresní soud v Hodoníně
3360069,Okresní soud v Jihlavě
3360070,Okresní soud v Kroměříži
3360071,Okresní soud v Prostějově
3360072,Okresní soud Třebíč
3360073,Okresní soud v Uherském Hradišti
3360074,Okresní soud Vyškov
3360075,Okresní soud ve Znojmě
3360076,Okresní soud ve Žďáru nad Sázavou
3360077,Okresní soud Bruntál
3360078,Okresní soud Frýdek-Místek
3360079,Okresní soud v Karviné
3360080,Okresní soud Nový Jičín
3360081,Okresní soud v Olomouci
3360082,Okresní soud Opava
3360083,Okresní soud Ostrava
3360084,Okresní soud v Přerově
3360085,Okresní soud v Šumperku
3360086,Okresní soud ve Vsetíně
3360087,Městské státní zastupitelství v Praze
3360088,Krajské státní zastupitelství v Praze
3360089,Krajské státní zastupitelství České Budějovice
3360090,Krajské státní zastupitelství v Plzni
3360091,Krajské státní zastupitelství Ústí nad Labem
3360092,Krajské státní zastupitelství v Hradci Králové
3360093,Krajské státní zastupitelství Brno
3360094,ČR - Krajské státní zastupitelství v Ostravě
3360096,Vězeňská služba České republiky
3360097,Vrchní soud v Praze
3360098,Městský soud v Praze
3360099,Krajský soud v Praze
3360100,Krajský soud v Českých Budějovicích
3360101,Krajský soud v Plzni
3360102,Krajský soud v Ústí nad Labem
3360103,Krajský soud v Hradci Králové
3360104,Krajský soud v Brně
