id,name_short,name,name_long
369132,Mez.spol.v bydl.,"Mez.spol.v obl.byd.,kom.služ. a úz.roz.-Protidrog.politika","Mezinárodní spolupráce v oblasti bydlení, komunálních služeb a územního rozvoje-Program protidrogové politiky"
369133,Mez.spol.v bydl.,"Mez.spol.v obl.byd.,kom.služ. a úz.roz.-Integr.romské kom.","Mezinárodní spolupráce v oblasti bydlení, komunálních služeb a územního rozvoje-Podpora projektů integrace příslušníků romské komunity"
369134,Mez.spol.v bydl.,"Mez.spol.v obl.byd.,kom.služ. a úz.roz.-Příprava kriz.sit.","Mezinárodní spolupráce v oblasti bydlení, komunálních služeb a územního rozvoje-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb."
3699,Ost.zál.bydl.,"Ost. zál.bydlení,komunálních služeb,úz.rozvoje","Ostatní záležitosti bydlení, komunálních služeb a územního rozvoje"
369900,Ost.zál.bydl.,"Ost. zál.bydlení,komunálních služeb,úz.rozvoje","Ostatní záležitosti bydlení, komunálních služeb a územního rozvoje"
369930,Ost.zál.bydl.,"Ost.zál.bydlení,komuná.služeb,úz.rozvoje-Zahr.rozvoj.spolup.","Ostatní záležitosti bydlení, komunálních služeb a územního rozvoje-Zahraniční rozvojová spolupráce"
369931,Ost.zál.bydl.,"Ost.zál.bydlení,komuná.služeb,úz.rozvoje-Prevence soc.a krim","Ostatní záležitosti bydlení, komunálních služeb a územního rozvoje-Program sociální prevence a prevence kriminality"
369932,Ost.zál.bydl.,"Ost.zál.bydlení,komuná.služeb,úz.rozvoje-Protidrog.politika","Ostatní záležitosti bydlení, komunálních služeb a územního rozvoje-Program protidrogové politiky"
369933,Ost.zál.bydl.,"Ost.zál.bydlení,komuná.služeb,úz.rozvoje-Integr.romské kom.","Ostatní záležitosti bydlení, komunálních služeb a územního rozvoje-Podpora projektů integrace příslušníků romské komunity"
369934,Ost.zál.bydl.,"Ost.zál.bydlení,komuná.služeb,úz.rozvoje-Příprava kriz.sit.","Ostatní záležitosti bydlení, komunálních služeb a územního rozvoje-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb."
37,Ochrana život.prost.,Ochrana životního prostředí,Ochrana životního prostředí
371,Ochr.ovzd. a klimatu,Ochrana ovzduší a klimatu,Ochrana ovzduší a klimatu
