id,id_level,id_1,id_2,id_3,id_4,name_short,name,name_long
5216,4,5,52,521,5216,Neinv. T nemocnicím,Neinv. transf. obecním a krajským nemocnicím - obchod. spol.,Neinvestiční transfery obecním a krajským nemocnicím - obchodním společnostem
5219,4,5,52,521,5219,Ost.neinvT PS,Ostatní neinvestiční transfery podnikatelským subjektům,Ostatní neinvestiční transfery podnikatelským subjektům
522,3,5,52,522,,Neinv.T nezisk.org.,Neinvestiční transfery neziskovým a podobným organizacím,Neinvestiční transfery neziskovým a podobným organizacím
5221,4,5,52,522,5221,NeinvT OPS,Neinvestiční transfery obecně prospěšným společnostem,Neinvestiční transfery obecně prospěšným společnostem
5221,4,5,52,522,5221,"Neinv T fund., OPS","Neinv. transf. fundacím, ústavům a obecně prospěšným společ.","Neinvestiční transfery fundacím, ústavům a obecně prospěšným společnostem"
5222,4,5,52,522,5222,NeinvT obč.sdruž,Neinvestiční transfery občanským sdružením,Neinvestiční transfery občanským sdružením
5222,4,5,52,522,5222,NeinvT Spolkům,Neinvestiční transfery spolkům,Neinvestiční transfery spolkům
5223,4,5,52,522,5223,NeinvT církvím,Neinvestiční transfery církvím a náboženským společnostem,Neinvestiční transfery církvím a náboženským společnostem
5224,4,5,52,522,5224,NeinvT pol.str.,Neinvestiční transfery politickým stranám a hnutím,Neinvestiční transfery politickým stranám a hnutím
5225,4,5,52,522,5225,NeinvT sp.vl.j.,Neinvestiční transfery společenstvím vlastníků jednotek,Neinvestiční transfery společenstvím vlastníků jednotek
5229,4,5,52,522,5229,Ost.neinvD NZO,Ostatní neinvestiční transfery neziskovým a podobným organiz,Ostatní neinvestiční transfery neziskovým a podobným organizacím
525,3,5,52,525,,NeinT nemoc.poj.,Neinvestiční transfery v souvislosti s nemocenským pojištění,Neinvestiční transfery v souvislosti s nemocenským pojištěním
5250,4,5,52,525,5250,Ref.1/2mzdy DPN,Refundace poloviny náhrady mzdy za dočasnou pracovní neschop,Refundace poloviny náhrady mzdy za dočasnou pracovní neschopnost
53,2,5,53,,,NeinT veřej.PS,Neinvestiční transfery veřejnoprávním subjektům amezi peněžn,Neinvestiční transfery veřejnoprávním subjektům amezi peněžními fondy téhož subjektu
53,2,5,53,,,Neinv.T veř.sub.p.F,Neinv.T veř.subj. a mezi peněž. F téhož subj.a pl.daní,Neinvestiční transfery veřejnoprávním subjektům a mezi peněžními fondy téhož subjektu a platby daní
531,3,5,53,531,,NeinvT VP-ústř.,Neinvestiční transfery veřejným rozpočtům ústřední úrovně,Neinvestiční transfery veřejným rozpočtům ústřední úrovně
5311,4,5,53,531,5311,NeinvT SR,Neinvestiční transfery státnímu rozpočtu,Neinvestiční transfery státnímu rozpočtu
5312,4,5,53,531,5312,NeinvT SF,Neinvestiční transfery státním fondům,Neinvestiční transfery státním fondům
5313,4,5,53,531,5313,NeinvT ZF ústř.,Neinvestiční transfery zvláštním fondům ústřední úrovně,Neinvestiční transfery zvláštním fondům ústřední úrovně
5314,4,5,53,531,5314,NeinvT FSaZP,Neinvestiční transfery fondům sociálního a veřejného zdravot,Neinvestiční transfery fondům sociálního a veřejného zdravotního pojištění
5315,4,5,53,531,5315,OdvodD za zam.,Odvod daně za zaměstnance,Odvod daně za zaměstnance
5316,4,5,53,531,5316,OdvodP SZ,Odvod pojistného na sociální zabezpečení a  příspěvku na stá,Odvod pojistného na sociální zabezpečení a  příspěvku na státní politiku zaměstnanosti za zaměstnance
5317,4,5,53,531,5317,Odvod VZP zamc.,Odvod pojistného na veřejné zdravotní pojištění za zaměstnan,Odvod pojistného na veřejné zdravotní pojištění za zaměstnance
5318,4,5,53,531,5318,NeinvT do SFA,Neinvestiční transfery prostředků do státních finančních akt,Neinvestiční transfery prostředků do státních finančních aktiv
5319,4,5,53,531,5319,Ost.neinvT VR,Ostatní neinvestiční transfery jiným veřejným rozpočtům,Ostatní neinvestiční transfery jiným veřejným rozpočtům
532,3,5,53,532,,NeinvT VRÚÚ,Neinvestiční transfery veřejným rozpočtům územní úrovně,Neinvestiční transfery veřejným rozpočtům územní úrovně
5321,4,5,53,532,5321,NeinvT obcím,Neinvestiční transfery obcím,Neinvestiční transfery obcím
5322,4,5,53,532,5322,NeinvT obcím-SV,Neinvestiční transfery obcím v rámci souhrnného dotačního vz,Neinvestiční transfery obcím v rámci souhrnného dotačního vztahu
5323,4,5,53,532,5323,NeinvT krajům,Neinvestiční transfery krajům,Neinvestiční transfery krajům
5324,4,5,53,532,5324,NeinvT krajům-SV,Neinvestiční transfery krajům v rámci souhrnného dotačního v,Neinvestiční transfery krajům v rámci souhrnného dotačního vztahu
