office_id,sector_id,type_id,amount
306,5199,519,39672380
306,5199,534,112119
306,5199,551,132000000
306,5199,554,121903503
306,5271,513,1400000
306,5271,516,500000
306,5271,517,6000000
306,6151,501,1125689195
306,6151,502,8238696
306,6151,503,385017860
306,6151,504,16441128
306,6151,513,25103990
306,6151,515,29800000
306,6151,516,166653538
306,6151,517,53332500
306,6151,519,2458600
306,6151,522,9000000
306,6151,533,1400000
306,6151,534,11366734
306,6151,536,7188000
306,6151,553,568775
306,6151,611,110555759
306,6151,612,170737466
306,6152,506,379000000
306,6152,513,40158597
306,6152,514,35000
306,6152,515,114520000
306,6152,516,957874898
306,6152,517,101750000
306,6152,518,3765000
306,6152,519,1837307054
306,6152,536,344000
306,6152,549,15000
306,6152,611,77397826
306,6152,612,436100000
306,6159,533,312425310
306,6159,635,100000000
306,6180,533,31169160
306,6221,506,461000
306,6221,516,653039000
306,6221,522,95000000
306,6222,501,25875805
306,6222,502,198662
306,6222,503,8813170
306,6222,513,355000
306,6222,514,20000
306,6222,516,321507503
306,6222,517,2230000
306,6222,521,9500000
306,6222,522,252300000
306,6222,533,20761800
306,6222,534,258460
306,6223,513,3610000
306,6223,515,1055000
306,6223,516,6810000
306,6223,517,23320000
306,6223,519,305000
306,6223,551,3205000
306,6223,553,86625000
306,6223,554,1345665020
306,6229,516,17000000
306,6229,522,100000000
306,6229,533,15000000
307,2321,515,123702400
307,3122,501,83116434
307,3122,503,29938835
307,3122,513,1043500
307,3122,515,1260000
307,3122,516,19639939
307,3122,517,5240200
307,3122,519,317000
307,3122,533,20400000
307,3122,534,831164
307,3122,549,11742260
307,3122,612,146743140
307,3122,690,1447495
307,3211,501,999801945
307,3211,503,351097820
307,3211,504,2205000
307,3211,513,94427240
307,3211,515,4290000
307,3211,516,63309817
307,3211,517,25812780
307,3211,519,303000
307,3211,533,36614620
307,3211,534,9998019
307,3211,536,8000
307,3211,549,69534200
307,3211,612,231784245
307,3211,690,85659975
307,3212,501,248530
307,3212,502,11819178
307,3212,503,4070010
307,3212,513,2605861
307,3212,516,46743302
307,3212,533,3314000
307,3212,534,2485
307,3212,612,33284615
307,3319,522,24000000
307,3326,522,166896
307,3326,532,14117992
307,3326,553,3850000
307,3326,611,4835402
307,3326,632,96606
307,3326,634,1768506
307,3411,501,222252600
307,3411,502,8340000
307,3411,503,79006486
307,3411,513,26766922
307,3411,515,29100600
307,3411,516,57662466
307,3411,517,73117300
307,3411,519,226000
307,3411,533,12042689
307,3411,534,2222525
307,3411,536,50000
307,3411,549,9153648
307,3411,612,141221295
307,3411,690,30528705
307,3419,522,4300000
307,3419,533,52294105
307,3419,632,4200000
307,3480,533,2500000
307,3522,533,1061524974
307,3522,635,35000000
